squirrel	[[squirrel]] is related to [[animal]]	
squirrel	[[squirrel]] is related to [[animal]]
squirrel	[[squirrel]] is related to [[rodent]]
squirrel	[[squirrel]] is related to [[nuts]]
squirrel	[[squirrel]] is related to [[rat]]
squirrel	[[squirrel]] is related to [[bushy tail]]
squirrel	[[squirrel]] is related to [[mammal]]
squirrel	[[squirrel]] is related to [[acorns]]
squirrel	[[squirrel]] is related to [[tree rodent]]
squirrel	[[squirrel]] is related to [[tree animal]]
squirrel	[[squirrel]] is related to [[eats nuts]]
squirrel	[[squirrel]] is related to [[furry tail]]
squirrel	[[squirrel]] is related to [[likes nuts]]
squirrel	[[squirrel]] is related to [[big tail]]
squirrel	[[squirrel]] is related to [[small rodent]]
squirrel	[[squirrel]] is related to [[small mammal]]
squirrel	[[squirrel]] is related to [[eating nuts]]
squirrel	*Something you find in [[a forest]] is [[a squirrel]]
